 *** DISPLACEMENT ***
 NODE     U       V       T
           1   3.2473372281437516E-003   5.6982743028087557E-020   9.9999999996000781     
           2   3.3214527746659927E-003   1.1970650210320771E-019   18.150174175305377     
           3   3.2373267712808647E-003   2.5478314171250503E-004   9.9999999992001563     
           4   3.4882130351076321E-003   1.3679081160444883E-019   25.834624174175165     
           5   3.3112138441977208E-003   2.6059818186022383E-004   18.150174175226759     
           6   3.2073571184748607E-003   5.0799546070222010E-004   9.9999999992001580     
           7   3.7374945496609904E-003   1.5417422426625436E-019   33.103698580785981     
           8   3.4774600384062954E-003   2.7368204114021453E-004   25.834624174109937     
           9   3.2805601791850146E-003   5.1958968938904313E-004   18.150174175102514     
          10   3.1576130426066553E-003   7.5807581874748049E-004   9.9999999992001563     
          11   4.0609673540890935E-003   7.6947762720919545E-020   39.999999998849241     
          12   3.7259731012382119E-003   2.9324044341811842E-004   33.103698580582517     
          13   3.4452673440891605E-003   5.4567674156783680E-004   25.834624174011765     
          14   3.2296807696568283E-003   7.7537775372816696E-004   18.150174175019941     
          15   3.0884012324411845E-003   1.0034823873226778E-003   9.9999999992001563     
          16   4.0484487469552594E-003   3.1861982718996075E-004   39.999999997698474     
          17   3.6914797895100061E-003   5.8467296211278696E-004   33.103698580363215     
          18   3.3918334308119195E-003   8.1430716346077682E-004   25.834624173952975     
          19   3.1588893040688315E-003   1.0263853564455897E-003   18.150174174966686     
          20   3.0001484018214756E-003   1.2427021532949996E-003   9.9999999992001563     
          21   4.0109701069250929E-003   6.3527525731091696E-004   39.999999997698481     
          22   3.6342272771831461E-003   8.7250077770101872E-004   33.103698580373106     
          23   3.3174877364095796E-003   1.0779171109335560E-003   25.834624173850226     
          24   3.0686222353294764E-003   1.2710649521896541E-003   18.150174174976577     
          25   2.8933986587481031E-003   1.4742602473752950E-003   9.9999999992001580     
          26   3.9487625022542787E-003   9.4801400429400163E-004   39.999999997698481     
          27   3.5545685450885170E-003   1.1549493357080349E-003   33.103698580490914     
          28   3.2226886267327985E-003   1.3348813411640395E-003   25.834624173912786     
          29   2.9594360900373155E-003   1.5079080096310536E-003   18.150174175080011     
          30   2.7688101507790468E-003   1.6967290370486770E-003   9.9999999992001580     
          31   3.8622094634748394E-003   1.2549079298006514E-003   39.999999997698481     
          32   3.4529947157861418E-003   1.4302772469567946E-003   33.103698580382684     
          33   3.1080205700846743E-003   1.5836155835663732E-003   25.834624174029923     
          34   2.8320040370816320E-003   1.7354543126347239E-003   18.150174175265015     
          35   2.6271510074757812E-003   1.9087369281561419E-003   9.9999999992001580     
          36   3.7518446188623939E-003   1.5540649306395177E-003   39.999999997698481     
          37   3.3301320256581409E-003   1.6967870234227934E-003   33.103698580208786     
          38   2.9741905330154784E-003   1.8225863092617752E-003   25.834624173938881     
          39   2.6871117374406422E-003   1.9523009626147103E-003   18.150174175086466     
          40   2.4692946049856878E-003   2.1089768210246318E-003   9.9999999992001580     
          41   3.6183484045593821E-003   1.8436406040284502E-003   39.999999997698481     
          42   3.1867379641582977E-003   1.9528355434664975E-003   33.103698580303323     
          43   2.8220236220553728E-003   2.0503201844645500E-003   25.834624173949077     
          44   2.5256524999324398E-003   2.1571110283498617E-003   18.150174175022745     
          45   2.2962141801990341E-003   2.2962141706857923E-003   9.9999999992001580     
          46   3.4625438692065793E-003   2.1218496196326120E-003   39.999999997698481     
          47   3.0236966032656720E-003   2.1968441830019841E-003   33.103698580443620     
          48   2.6524579968318488E-003   2.2654131539964805E-003   25.834624174184235     
          49   2.3486217751228036E-003   2.3486217868135149E-003   18.150174175944947     
          50   2.1089768303911528E-003   2.4692945974524559E-003   9.9999999992001580     
          51   3.2853915991301456E-003   2.3869767271378095E-003   39.999999997698481     
          52   2.8420131471055309E-003   2.4273085477042500E-003   33.103698580498936     
          53   2.4665390862530110E-003   2.4665390976767701E-003   25.834624174535232     
          54   2.1571110171881747E-003   2.5256525098739848E-003   18.150174176735263     
          55   1.9087369368420816E-003   2.6271510019304505E-003   9.9999999992001580     
          56   3.0879837970570717E-003   2.6373873295061434E-003   39.999999997698481     
          57   2.6428077349207068E-003   2.6428077477424813E-003   33.103698580641648     
          58   2.2654131430454002E-003   2.6524580066074901E-003   25.834624174795415     
          59   1.9523009525165040E-003   2.6871117455075800E-003   18.150174176844018     
          60   1.6967290453877646E-003   2.7688101466791064E-003   9.9999999992001580     
          61   2.8715375481796986E-003   2.8715375615556878E-003   39.999999997698481     
          62   2.4273085354845347E-003   2.8420131579668224E-003   33.103698580918696     
          63   2.0503201744619956E-003   2.8220236300759323E-003   25.834624174849353     
          64   1.7354543031513501E-003   2.8320040438823959E-003   18.150174176759386     
          65   1.4742602551179609E-003   2.8933986560355706E-003   9.9999999992001580     
          66   2.6373873167075380E-003   3.0879838084059627E-003   39.999999997698481     
          67   2.1968441720897252E-003   3.0236966119552792E-003   33.103698580949427     
          68   1.8225862997493692E-003   2.9741905398591659E-003   25.834624175005114     
          69   1.5079080009024772E-003   2.9594360956889188E-003   18.150174176797933     
          70   1.2427021600810606E-003   3.0001484004218005E-003   9.9999999992001580     
          71   2.3869767155932438E-003   3.2853916082742234E-003   39.999999997698481     
          72   1.9528355330323667E-003   3.1867379715767854E-003   33.103698580737770     
          73   1.5836155749656886E-003   3.1080205756947115E-003   25.834624175079004     
          74   1.2710649447350674E-003   3.0686222397947969E-003   18.150174176910788     
          75   1.0034823927871643E-003   3.0884012322075316E-003   9.9999999992001580     
          76   2.1218496087018444E-003   3.4625438769297630E-003   39.999999997698481     
          77   1.6967870137635369E-003   3.3301320318176934E-003   33.103698580799616     
          78   1.3348813335495608E-003   3.2226886312880371E-003   25.834624175097574     
          79   1.0263853504693722E-003   3.1588893075212123E-003   18.150174176896286     
          80   7.5807582287464232E-004   3.1576130432538667E-003   9.9999999992001580     
          81   1.8436405939533974E-003   3.6183484109259464E-003   39.999999997698481     
          82   1.4302772386250542E-003   3.4529947206475967E-003   33.103698580990624     
          83   1.0779171050651337E-003   3.3174877398508247E-003   25.834624175107987     
          84   7.7537774922907792E-004   3.2296807723444826E-003   18.150174176954614     
