 *** DISPLACEMENT ***
 NODE     U       V       T
           1   3.2473372394954750E-003   5.6982743234029028E-020   10.000000000425842     
           2   3.3214527863389231E-003   1.1970650259318889E-019   18.150174283539542     
           3   3.2373267825947230E-003   2.5478314259900841E-004   10.000000000851685     
           4   3.4882130479197086E-003   1.3679081217226207E-019   25.834624322737117     
           5   3.3112138558348955E-003   2.6059818277355087E-004   18.150174283578661     
           6   3.2073571296829272E-003   5.0799546247425227E-004   10.000000000851683     
           7   3.7374945635602133E-003   1.5417422474333292E-019   33.103698684050862     
           8   3.4774600511793281E-003   2.7368204214234433E-004   25.834624322794141     
           9   3.2805601907144135E-003   5.1958969121151098E-004   18.150174283633771     
          10   3.1576130536415618E-003   7.5807582139417976E-004   10.000000000851683     
          11   4.0609673682617479E-003   7.6947762913600687E-020   40.000000000814083     
          12   3.7259731150958808E-003   2.9324044450401363E-004   33.103698684187421     
          13   3.4452673567457121E-003   5.4567674356807835E-004   25.834624322890203     
          14   3.2296807810084302E-003   7.7537775645001119E-004   18.150174283604230     
          15   3.0884012432351340E-003   1.0034823908277877E-003   10.000000000851683     
          16   4.0484487610942185E-003   3.1861982829239292E-004   40.000000001628173     
          17   3.6914798032438886E-003   5.8467296428169708E-004   33.103698684284353     
          18   3.3918334432739184E-003   8.1430716644810379E-004   25.834624322921808     
          19   3.1588893151727028E-003   1.0263853600504442E-003   18.150174283569942     
          20   3.0001484123078135E-003   1.2427021576369179E-003   10.000000000851685     
          21   4.0109701209391831E-003   6.3527525952229225E-004   40.000000001628159     
          22   3.6342272907061513E-003   8.7250078094185785E-004   33.103698684339392     
          23   3.3174877485996459E-003   1.0779171148903633E-003   25.834624322841847     
          24   3.0686222461169068E-003   1.2710649566554572E-003   18.150174283584306     
          25   2.8933986688619521E-003   1.4742602525272539E-003   10.000000000851683     
          26   3.9487625160531826E-003   9.4801400759973579E-004   40.000000001628166     
          27   3.5545685583164900E-003   1.1549493400010674E-003   33.103698684474374     
          28   3.2226886385754551E-003   1.3348813460660849E-003   25.834624322911854     
          29   2.9594361004415507E-003   1.5079080149302750E-003   18.150174283690273     
          30   2.7688101604578415E-003   1.6967290429788751E-003   10.000000000851683     
          31   3.8622094769727765E-003   1.2549079341803637E-003   40.000000001628159     
          32   3.4529947286371047E-003   1.4302772522756402E-003   33.103698684371096     
          33   3.1080205815066046E-003   1.5836155893834344E-003   25.834624323032493     
          34   2.8320040470382873E-003   1.7354543187346459E-003   18.150174283876161     
          35   2.6271510166596475E-003   1.9087369348279436E-003   10.000000000851685     
          36   3.7518446319756175E-003   1.5540649360661291E-003   40.000000001628166     
          37   3.3301320380525099E-003   1.6967870297346331E-003   33.103698684198562     
          38   2.9741905439459849E-003   1.8225863159579262E-003   25.834624322941675     
          39   2.6871117468881072E-003   1.9523009694776387E-003   18.150174283697872     
          40   2.4692946136178058E-003   2.1089768283967941E-003   10.000000000851685     
          41   3.6183484172066780E-003   1.8436406104684517E-003   40.000000001628166     
          42   3.1867379760193468E-003   1.9528355507323317E-003   33.103698684293278     
          43   2.8220236324268174E-003   2.0503201919984003E-003   25.834624322950560     
          44   2.5256525088122512E-003   2.1571110359333641E-003   18.150174283635053     
          45   2.2962141882260090E-003   2.2962141787127421E-003   10.000000000851685     
          46   3.4625438813096375E-003   2.1218496270461948E-003   40.000000001628166     
          47   3.0236966145199985E-003   2.1968441911768941E-003   33.103698684432736     
          48   2.6524580065800610E-003   2.2654131623214497E-003   25.834624323187214     
          49   2.3486217833800158E-003   2.3486217950706950E-003   18.150174284557554     
          50   2.1089768377633459E-003   2.4692946060845553E-003   10.000000000851685     
          51   3.2853916106140501E-003   2.3869767354791241E-003   40.000000001628166     
          52   2.8420131576835090E-003   2.4273085567376915E-003   33.103698684487888     
          53   2.4665390953176659E-003   2.4665391067413799E-003   25.834624323539813     
          54   2.1571110247717118E-003   2.5256525187537706E-003   18.150174285347369     
          55   1.9087369435139064E-003   2.6271510111143016E-003   10.000000000851685     
          56   3.0879838078507658E-003   2.6373873387236057E-003   40.000000001628166     
          57   2.6428077447568886E-003   2.6428077575786019E-003   33.103698684633947     
          58   2.2654131513704205E-003   2.6524580163556706E-003   25.834624323800099     
          59   1.9523009593794612E-003   2.6871117549550289E-003   18.150174285456679     
          60   1.6967290513179795E-003   2.7688101563579028E-003   10.000000000851685     
          61   2.8715375582163906E-003   2.8715375715923004E-003   40.000000001628166     
          62   2.4273085445180574E-003   2.8420131685447806E-003   33.103698684912032     
          63   2.0503201819958884E-003   2.8220236404473747E-003   25.834624323854825     
          64   1.7354543092512934E-003   2.8320040538390547E-003   18.150174285372206     
          65   1.4742602602699326E-003   2.8933986661494331E-003   10.000000000851685     
          66   2.6373873259251035E-003   3.0879838191996347E-003   40.000000001628166     
          67   2.1968441802647028E-003   3.0236966232096273E-003   33.103698684943922     
          68   1.8225863064455512E-003   2.9741905507896910E-003   25.834624324009972     
          69   1.5079080062017128E-003   2.9594361060931696E-003   18.150174285408923     
          70   1.2427021644229861E-003   3.0001484109081554E-003   10.000000000851685     
          71   2.3869767239346426E-003   3.2853916197581575E-003   40.000000001628166     
          72   1.9528355402982454E-003   3.1867379834378705E-003   33.103698684729480     
          73   1.5836155807827665E-003   3.1080205871166630E-003   25.834624324082906     
          74   1.2710649492008795E-003   3.0686222505822507E-003   18.150174285520148     
          75   1.0034823962922748E-003   3.0884012430015006E-003   10.000000000851685     
          76   2.1218496161154749E-003   3.4625438890328610E-003   40.000000001628166     
          77   1.6967870200753994E-003   3.3301320442121005E-003   33.103698684793173     
          78   1.3348813384516172E-003   3.2226886431307267E-003   25.834624324096865     
          79   1.0263853540742273E-003   3.1588893186251057E-003   18.150174285500142     
          80   7.5807582552133107E-004   3.1576130542887875E-003   10.000000000851685     
          81   1.8436406003934243E-003   3.6183484235732923E-003   40.000000001628166     
          82   1.4302772439439093E-003   3.4529947334985948E-003   33.103698684977957     
          83   1.0779171090219497E-003   3.3174877520409218E-003   25.834624324100606     
          84   7.7537775195091196E-004   3.2296807836961023E-003   18.150174285540380     
          85   5.0799546519210068E-004   3.2073571309548200E-003   10.000000000851685     
          86   1.5540649272023214E-003   3.7518446370538678E-003   40.000000001628166     
          87   1.1549493332354990E-003   3.5545685620586871E-003   33.103698685059747     
          88   8.1430716193751191E-004   3.3918334459875732E-003   25.834624324017863     
          89   5.1958968829502903E-004   3.2805601928508799E-003   18.150174285457268     
          90   2.5478314397382062E-004   3.2373267842256562E-003   10.000000000851685     
